code;project_ids.display_name;periodo_fiscal;investment_sector_id.name;category_id.name;lat;long
CCO-21-10-05-00055;ALUMBRADO PUBLICO DEL SECTOR ACUVIPET. MUNICIPIO JOSE FELIX RIBAS, TUCUPIDO, GUÀRICO;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,2737721283241;-65,7639923554576
CCO-21-08-07-00031;CONSTRUCCION DE LA CERCA PERIMETRAL DEL CENTRO DE EDUCACION INICIAL ESTEFANA GONZALEZ DE LA COMUNIDAD JOSE LAURENCIO SILVA 1, MUNICIPIO TINACO ESTADO COJEDES;21;SERVICIOS PÚBLICOS;EDUCACIÓN;9,71228607390816;-68,444117153737
COM-21-12-04-00001;siembra de los rubros de papa, zanahoria, cebolla, tomate, cebollin en el sector Palo Negro de la comuna Mucundu de la Parroquia Jaji del Municipio Campo Elias del Estado Mérida;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;8,58882348405149;-71,3579211332845
COM-21-05-01-00004;SIEMBRA Y CULTIVO DE 30 HECTAREAS DE MAIZ BLANCO, ARROZ PADDY Y FRIJOL A TRAVES DE CONUCOS PRODUCTIVOS EN LOS SECTORES;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;8,21964071992457;-67,8543166448229
CCO-21-19-19-00001; PERFORACION DE UN POZO PROFUNDO PARA EL SERVICIO DE AGUA POTABLE EN EL SECTOR SAN ISIDRO, PARROQUIA TRES DE FEBRERO, MUNICIPIO LA CEIBA DEL ESTADO TRUJILLO;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;9,6183508566002;-70,9689359279092
CCO-21-08-06-00142;rehabilitacion de tanque aereo del consejo comunal punta brava.;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;9,81140867146618;-68,5191015830251
CCO-21-08-05-00011;REHABILITACION Y MEJORADEL SISTEMA ELECTRICO EN LAS CALLES Y AVENIDAS DEL SECTOR CAÑO HONDO II, MUNICIPIO RICAURTE, ESTADO COJEDES;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,52708627340327;-68,6650413438269
CCO-21-21-07-00004;REHABILITACIÓN DEL SISTEMA DE ALUMBRADO FASE I.;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;11,1504816587543;-71,8665343357105
CCO-21-08-08-00015;MANTENIMIENTO Y MEJORAS DEL ALUMBRADO PUBLICO DEL SECTOR EL ESTADIUM  DEL MUNICIPIO LIMA BLANCO DEL ESTADO BOLIVARIANO DE COJEDES;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,82542196073065;-68,4391235318622
CCO-21-08-07-00005;REHABILITACION Y MEJORAS EN LA VIALIDAD RURAL DE LA COMUNIDAD RURAL DANTA 1 DEL MUNICIPIO TINACO DEL ESTADO COJEDES;21;SERVICIOS PÚBLICOS;VIALIDAD;9,77465797608605;-68,4400385291951
